station_id,day,temp_outside,wind_speed,pressure,crew_count,dg_load,physics_pred,actual,residual
ST-BHARATI,0,-25.58,5.31,978.66,24,0.858,178.33,194.03,15.7
ST-BHARATI,1,-28.61,0,990.74,24,0.61,171.72,185.24,13.52
ST-BHARATI,2,-23.8,10.65,987.88,24,0.827,186.48,198.48,12.0
ST-BHARATI,3,-27.3,5.21,961.5,24,0.602,180.56,184.96,4.4
ST-BHARATI,4,-22.32,0.19,976.25,24,0.935,163.91,178.73,14.82
ST-BHARATI,5,-25.23,7.51,999.11,24,0.811,182.05,199.95,17.9
ST-BHARATI,6,-21.9,0,948.56,24,0.732,163.23,170.45,7.22
ST-BHARATI,7,-31.16,3.58,962.45,24,0.802,182.43,185.55,3.12
ST-BHARATI,8,-24.25,4.82,981.37,24,0.628,175.59,190.84,15.25
ST-BHARATI,9,-23.57,7.84,977.02,24,0.728,180.69,199.93,19.23
ST-BHARATI,10,-25.51,8.0,977.0,24,0.827,183.58,208.93,25.35
ST-BHARATI,11,-25.39,4.45,979.06,24,0.733,176.38,183.69,7.31
ST-BHARATI,12,-17.65,5.62,962.92,24,0.895,168.63,177.12,8.48
ST-BHARATI,13,-22.76,3.15,990.24,24,0.694,170.24,181.95,11.72
ST-BHARATI,14,-20.77,15.29,987.44,24,0.829,191.66,199.35,7.69
ST-BHARATI,15,-29.99,11.41,970.9,24,0.686,196.3,208.14,11.84
ST-BHARATI,16,-25.72,4.83,957.9,24,0.74,177.74,182.14,4.4
ST-BHARATI,17,-20.04,19.61,974.77,24,0.616,199.36,209.49,10.13
ST-BHARATI,18,-18.22,9.57,983.28,24,0.622,177.03,181.27,4.25
ST-BHARATI,19,-32.24,15.03,948.59,24,0.901,206.62,215.43,8.8
ST-BHARATI,20,-15.93,6.46,973.8,24,0.693,167.92,171.81,3.9
ST-BHARATI,21,-23.4,4.49,967.9,24,0.934,173.94,188.44,14.5
ST-BHARATI,22,-19.82,3.8,972.47,24,0.919,167.8,179.58,11.78
ST-BHARATI,23,-19.6,3.55,969.43,24,0.653,167.05,171.21,4.17
